signal,signal-options,amplified-attenuated,subcategory,clean-or-no,secondary-category,unclean-percent,count-in-dataset,annotated-by-one,annotated-by-two,annotated-by-all,comment,ampf-att-clean,%-2-or-more,%-1-or-more,,
certain items,,attenuated,specification,yes,NA,NA,2,0,1,1,,100.0,1.00,1.00,,Yes
overly,NA,amplified,intensifier,yes,NA,NA,1,0,1,0,,100.0,1.00,1.00,,Yes
100%,100 %,amplified,generalization,no,certainty,50-50,2,0,2,0,,100.0,1.00,1.00,,Yes
absolutely,,amplified,intensifier,no,certainty,60-40,3,0,1,2,,100.0,1.00,1.00,,Yes
every situation,"all situations, every single situation; any situation",amplified,generalization,yes,NA,NA,2,0,1,1,,100.0,1.00,1.00,,Yes
as though,,attenuated,uncertanty,no,detensifier,75-25,6,0,2,4,,100.0,1.00,1.00,,Yes
basically,,amplified,intensifier,yes,NA,NA,1,0,0,1,,100.0,1.00,1.00,,Yes
no matter if,,amplified,intensifier,no,generalization,50-59,1,0,1,0,,100.0,1.00,1.00,,Yes
by no means,,amplified,certainty,yes,NA,NA,1,0,1,0,,100.0,1.00,1.00,,Yes
certain subjects,,attenuated,specification,yes,NA,NA,1,0,1,0,,100.0,1.00,1.00,,Yes
certainly,,amplified,certainty,yes,NA,NA,1,0,1,0,,100.0,1.00,1.00,,Yes
extremely,,amplified,intensifier,yes,NA,NA,10,0,4,6,,100.0,1.00,1.00,,Yes
exceptionally,,amplified,intensifier,yes,NA,NA,1,0,1,0,,100.0,1.00,1.00,,Yes
except,,attenuated,specification,yes,NA,NA,1,0,1,0,,100.0,1.00,1.00,,Yes
not sure,,attenuated,uncertainty,yes,NA,NA,2,0,1,1,,100.0,1.00,1.00,,Yes
SAME ADJ and SAME ADJ,,amplified,intensifier,yes,NA,NA,1,0,1,0,,100.0,1.00,1.00,,Yes
means the world,,amplified,intensifier,yes,NA,NA,1,0,1,0,,100.0,1.00,1.00,,Yes
mad + NOUN,(npr. mad game),amplified,intensifier,yes,NA,NA,1,0,1,0,,100.0,1.00,1.00,,Yes
probably,,attenuated,uncertainty,yes,NA,NA,7,0,5,2,,100.0,1.00,1.00,,Yes
rather + ADJ,,amplified,intensifier,yes,NA,NA,11,0,6,5,,100.0,1.00,1.00,,Yes
foremost,,amplified,intensifier,yes,NA,NA,1,0,1,0,,100.0,1.00,1.00,,Yes
from time to time,,attenuated,specification,yes,NA,NA,1,0,0,1,,100.0,1.00,1.00,,Yes
i'd have to say,,attenuated,detensifier,yes,NA,NA,1,0,0,1,,100.0,1.00,1.00,,Yes
immense,,amplified,intensifier,yes,NA,NA,1,0,1,0,,100.0,1.00,1.00,,Yes
in a sense,,attenuated,detensifier,yes,NA,NA,1,0,0,1,,100.0,1.00,1.00,,Yes
not very,,attenuated,detensifier,yes,NA,NA,4,0,2,2,,100.0,1.00,1.00,,Yes
so to say,,attenuated,detensifier,yes,NA,NA,1,0,1,0,,100.0,1.00,1.00,,Yes
feel I,,attenuated,uncertainty,no,detensifier,50-50,2,0,2,0,,100.0,1.00,1.00,,Yes
must,,amplified,generalization,yes,NA,NA,1,0,0,1,,100.0,1.00,1.00,,Yes
no other way,no way,amplified,certainty,no,intensifier,50-50,1,0,1,0,,100.0,1.00,1.00,,Yes
no questions asked,,amplified,certainty,no,intensifier,50-50,1,0,1,0,,100.0,1.00,1.00,,Yes
nobody,,amplified,generalization,yes,NA,NA,1,0,0,1,,100.0,1.00,1.00,,Yes
sort of,,attenuated,detensifier,yes,NA,NA,3,0,1,2,,100.0,1.00,1.00,,Yes
specifically,,attenuated,specification,yes,NA,NA,1,0,1,0,,100.0,1.00,1.00,,Yes
tending,,attenuated,detensifier,yes,NA,NA,1,0,1,0,,100.0,1.00,1.00,,Yes
obviously,,amplified,intensifier,no,certainty,50-50,1,0,1,0,,100.0,1.00,1.00,,Yes
occurrences,,attenuated,specification,yes,NA,NA,1,0,1,0,,100.0,1.00,1.00,,Yes
typically,,attenuated,specification,yes,NA,NA,3,0,2,1,,100.0,1.00,1.00,,Yes
perfectly,,amplified,intensifier,no,certainty; generealization,50-30-20,3,0,1,2,,100.0,1.00,1.00,,Yes
aim to,,attenuated,uncertainty,no,detensifier,50-50,1,0,1,0,,100.0,1.00,1.00,,Yes
don't necessarily,,attenuated,uncertainty,no,detensifier,66-33,1,0,1,0,,100.0,1.00,1.00,,Yes
no other way,,amplified,generalization,yes,NA,NA,1,0,1,0,,100.0,1.00,1.00,,Yes
not really,,attenuated,uncertainty,no,intensifier; detensifier,50-25-25,2,0,2,0,,100.0,1.00,1.00,,Yes
till the day i die,until the day I die,amplified,intensifier,yes,NA,NA,1,0,1,0,,100.0,1.00,1.00,,Yes
tend to,,attenuated,detensifier,no,uncertainty,75-25,64,3,16,44,,100.0,0.94,0.98,,Yes
I guess,,attenuated,uncertainty,yes,NA,NA,13,1,7,5,,100.0,0.92,1.00,,Yes
always,,amplified,generalization,yes,NA,NA,123,10,27,86,,100.0,0.92,1.00,,Yes
no matter,,amplified,generalization,no,certainty; intensifier,80-15-5,18,1,5,11,,100.0,0.89,0.94,,Yes
certain things,,attenuated,specification,yes,NA,NA,8,1,4,3,,100.0,0.88,1.00,,Yes
quite,,amplified,intensifier,yes,NA,NA,7,1,5,1,,100.0,0.86,1.00,,Yes
any,,amplified,generalization,yes,NA,NA,14,5,9,3,,100.0,0.86,1.21,,Yes
everyone,,amplified,generalization,yes,NA,NA,31,5,11,15,,100.0,0.84,1.00,,Yes
sometimes,,attenuated,specification,yes,NA,NA,79,16,57,8,,100.0,0.82,1.03,,Yes
at times,at ADJ times,attenuated,specification,yes,NA,NA,27,15,15,7,,100.0,0.81,1.37,,Yes
very,,amplified,intensifier,yes,NA,NA,200,21,61,100,,100.0,0.81,0.91,,Yes
whenever,,amplified,generalization,yes,NA,NA,5,0,1,3,,100.0,0.80,0.80,,No
definitely,,amplified,certainty,no,intensifier,80-20,5,1,1,3,,100.0,0.80,1.00,,Yes
never,,amplified,generalization,yes,NA,NA,43,6,16,18,,100.0,0.79,0.93,,Yes
huge,,amplified,intensifier,yes,NA,NA,9,1,5,2,,100.0,0.78,0.89,,No
tendency,,attenuated,detensifier,yes,NA,NA,9,3,5,2,,100.0,0.78,1.11,,Yes
I think,I also think,attenuated,uncertainty,no,detensifier,90-10,75,12,32,26,,100.0,0.77,0.93,,Yes
like to think,,attenuated,uncertainty,yes,NA,NA,4,0,3,0,,100.0,0.75,0.75,,No
everything,,amplified,generalization,yes,NA,NA,40,8,16,14,,100.0,0.75,0.95,,Yes
no one,,amplified,generalization,yes,NA,NA,4,1,3,0,,100.0,0.75,1.00,,Yes
I suppose,,attenuated,uncertainty,yes,NA,NA,4,1,1,2,,100.0,0.75,1.00,,Yes
incredibly,,amplified,intensifier,yes,NA,NA,4,1,0,3,,100.0,0.75,1.00,,Yes
completely,,amplified,generalization,no,certainty; intensifier,60-25-15,4,1,3,0,,85.0,0.75,1.00,,Yes
really,,amplified,intensifier,yes,NA,NA,89,19,31,34,,100.0,0.73,0.94,,Yes
feel like,,attenuated,uncertainty,no,detensifier,55-45,32,9,13,10,,100.0,0.72,1.00,,Yes
certain situations,,attenuated,specification,yes,NA,NA,7,2,3,2,,100.0,0.71,1.00,,Yes
